[201, 180, 29]
[198, 177, 28]
[217, 191, 26]
[229, 195, 27]
[229, 194, 26]
[203, 179, 26]
[173, 158, 23]
[143, 132, 17]
[142, 133, 17]
[134, 125, 17]
[167, 155, 22]
[157, 145, 20]
[169, 156, 20]
[170, 158, 22]
[168, 154, 20]
[148, 137, 19]
[139, 130, 18]
[174, 158, 21]
[163, 146, 20]
[154, 140, 20]
[157, 140, 17]
[168, 150, 18]
[169, 151, 20]
[100, 92, 14]
[128, 117, 15]
[142, 128, 17]
[143, 130, 16]
[131, 119, 15]
[127, 116, 17]
[142, 129, 18]
[140, 126, 17]
[126, 115, 17]
[171, 154, 20]
[173, 155, 21]
[207, 179, 28]
[191, 170, 24]
[182, 161, 23]
[171, 152, 19]
[162, 145, 17]
[153, 138, 18]
[165, 146, 19]
[171, 153, 20]
[149, 135, 19]
[160, 144, 18]
[143, 130, 19]
[141, 128, 15]
[133, 121, 14]
[144, 131, 17]
[155, 140, 17]
[157, 142, 20]
[154, 140, 19]
[157, 142, 20]
[232, 197, 30]
[233, 198, 30]
[234, 198, 30]
[283, 274, 20]
[285, 276, 21]
[281, 274, 20]
[281, 272, 21]
[286, 276, 21]
[297, 285, 22]
[300, 288, 22]
[302, 286, 22]
[303, 289, 21]
[293, 283, 19]
[293, 281, 22]
[292, 284, 22]
[285, 278, 20]
[268, 268, 22]
[253, 256, 35]
[250, 251, 30]
[249, 249, 23]
[249, 247, 19]
[249, 249, 18]
[251, 251, 17]
[252, 250, 18]
[253, 251, 19]
[252, 249, 17]
[250, 250, 18]
[250, 250, 19]
[247, 247, 21]
[259, 256, 22]
[271, 268, 29]
[280, 280, 41]
[282, 283, 46]
[289, 282, 33]
[297, 286, 25]
[300, 284, 23]
[303, 290, 22]
[295, 282, 21]
[294, 283, 20]
[295, 286, 21]
[286, 281, 20]
[197, 199, 13]
[188, 193, 15]
[181, 185, 15]
[195, 197, 17]
[188, 191, 17]
[236, 236, 19]
[260, 257, 21]
[258, 257, 18]
[267, 265, 19]
[289, 280, 21]
[280, 274, 21]
[279, 273, 20]
[272, 268, 19]
[266, 263, 18]
[260, 257, 17]
[258, 255, 18]
[262, 258, 18]
[261, 259, 20]
[254, 254, 20]
[265, 262, 20]
[271, 268, 23]
[272, 272, 36]
[156, 219, 66]
[156, 220, 67]
[245, 274, 69]
[286, 278, 25]
[291, 282, 23]
[290, 280, 23]
[286, 277, 22]
