[325, 297, 150]
[325, 289, 145]
[326, 295, 146]
[329, 306, 150]
[327, 296, 149]
[328, 295, 148]
[329, 291, 148]
[327, 293, 147]
[327, 294, 147]
[325, 296, 148]
[328, 306, 147]
[326, 306, 150]
[332, 311, 152]
[325, 303, 149]
[328, 306, 148]
[329, 304, 147]
[329, 312, 149]
[323, 319, 149]
[329, 322, 150]
[324, 316, 152]
[325, 320, 152]
[328, 320, 153]
[327, 317, 153]
[326, 309, 152]
[327, 301, 151]
[321, 289, 145]
[318, 292, 144]
[325, 298, 148]
[326, 295, 146]
[323, 288, 145]
[325, 295, 148]
[326, 294, 146]
[329, 304, 150]
[330, 311, 149]
[330, 309, 148]
[330, 304, 148]
[327, 299, 146]
[327, 300, 148]
[330, 304, 149]
[329, 298, 147]
[326, 291, 147]
[323, 283, 143]
[328, 294, 145]
[330, 301, 146]
[332, 310, 148]
[323, 319, 150]
[327, 321, 151]
[335, 323, 154]
[337, 320, 154]
[343, 325, 159]
[329, 308, 150]
[336, 315, 152]
[334, 312, 152]
[332, 311, 150]
[333, 313, 151]
[333, 316, 152]
[329, 313, 150]
[330, 313, 152]
[328, 314, 152]
[328, 319, 153]
[298, 315, 147]
[304, 319, 149]
[305, 319, 148]
[308, 320, 150]
[300, 317, 147]
[304, 318, 149]
[297, 315, 148]
[300, 318, 148]
[309, 322, 152]
[312, 321, 152]
[316, 321, 154]
[315, 321, 154]
[318, 320, 153]
[320, 324, 154]
[313, 324, 150]
[307, 322, 151]
[296, 314, 145]
[294, 312, 147]
[291, 311, 145]
[301, 314, 149]
[288, 306, 144]
[292, 312, 143]
[283, 306, 141]
[272, 297, 136]
[278, 299, 139]
[297, 314, 148]
[294, 313, 146]
[286, 308, 142]
[296, 311, 144]
[304, 320, 147]
[306, 320, 150]
[304, 317, 149]
[302, 316, 148]
[301, 316, 148]
[304, 320, 149]
[305, 319, 148]
[307, 318, 148]
[305, 320, 147]
[289, 309, 141]
[301, 317, 147]
[295, 312, 146]
[293, 311, 145]
[292, 311, 144]
[322, 335, 156]
[309, 320, 151]
[309, 317, 149]
[304, 315, 148]
[307, 315, 148]
[304, 316, 148]
[300, 318, 146]
[306, 320, 149]
[309, 322, 148]
[324, 310, 153]
[313, 318, 153]
[317, 314, 153]
[319, 313, 152]
[317, 312, 151]
[317, 313, 149]
[314, 316, 150]
[312, 321, 149]
[308, 318, 148]
[288, 308, 140]
[293, 312, 144]
[295, 310, 143]
[300, 316, 149]
[317, 320, 151]
[303, 309, 144]
[326, 325, 153]
[315, 310, 148]
[314, 303, 145]
[316, 316, 150]
[317, 320, 150]
[316, 321, 151]
[310, 306, 150]
[307, 311, 150]
[314, 309, 149]
[317, 311, 148]
[317, 319, 149]
[318, 319, 150]
[317, 326, 150]
[324, 333, 151]
[311, 321, 148]
[302, 316, 145]
[299, 310, 148]
[299, 310, 147]
[310, 316, 149]
[311, 321, 146]
[317, 326, 150]
[321, 318, 152]
[323, 320, 149]
[285, 308, 140]
[305, 318, 146]
[291, 311, 143]
[276, 296, 136]
[275, 297, 138]
[289, 309, 142]
[286, 307, 140]
[302, 318, 147]
[307, 320, 149]
[304, 318, 146]
[267, 293, 133]
[281, 304, 139]
[243, 270, 124]
[250, 276, 128]
[245, 272, 125]
[246, 272, 126]
[245, 269, 124]
[242, 267, 124]
[247, 271, 125]
[251, 277, 127]
[254, 279, 128]
[257, 282, 131]
[259, 285, 131]
[259, 284, 132]
[261, 286, 131]
[259, 284, 126]
[259, 283, 129]
[264, 287, 132]
[261, 285, 132]
[260, 285, 130]
[263, 288, 133]
[276, 298, 138]
[306, 315, 147]
[244, 271, 124]
[248, 274, 126]
[243, 269, 123]
[244, 270, 123]
[245, 270, 123]
[247, 272, 124]
[247, 273, 125]
[245, 271, 124]
[245, 271, 123]
[242, 268, 122]
[243, 267, 121]
[246, 271, 122]
[248, 273, 125]
[247, 272, 124]
[247, 274, 126]
[248, 275, 126]
[249, 276, 128]
[248, 274, 127]
[249, 276, 127]
[252, 278, 125]
[253, 280, 127]
[252, 279, 127]
[256, 282, 127]
[255, 280, 127]
[253, 279, 128]
[249, 274, 126]
[255, 282, 131]
[246, 273, 124]
[241, 269, 126]
[254, 276, 129]
[261, 285, 130]
[263, 289, 132]
[256, 282, 127]
[257, 283, 130]
[256, 282, 128]
[254, 280, 126]
[246, 273, 127]
[238, 265, 122]
[240, 267, 121]
[235, 263, 120]
[237, 263, 118]
[237, 264, 122]
[236, 262, 120]
[242, 268, 121]
[245, 269, 121]
[242, 267, 122]
[239, 264, 120]
[234, 261, 120]
[236, 261, 119]
[245, 274, 126]
[249, 277, 125]
[246, 273, 125]
[246, 273, 124]
[245, 272, 124]
[244, 272, 123]
[244, 271, 123]
[241, 269, 122]
[243, 271, 125]
[245, 272, 125]
[250, 276, 126]
[264, 292, 133]
[255, 283, 128]
[252, 279, 127]
[244, 271, 123]
[243, 271, 125]
[250, 276, 128]
[251, 277, 127]
[255, 282, 131]
[254, 281, 129]
[253, 280, 129]
[248, 275, 126]
[250, 276, 127]
[250, 278, 129]
[243, 271, 124]
[247, 274, 124]
[246, 273, 124]
[244, 271, 123]
[240, 266, 121]
[237, 266, 120]
[241, 268, 121]
[241, 269, 123]
[239, 268, 121]
[244, 273, 123]
[242, 270, 123]
[247, 273, 125]
[262, 289, 132]
[249, 275, 125]
[246, 273, 125]
[251, 278, 127]
[249, 275, 126]
[254, 280, 127]
[258, 285, 131]
[261, 287, 132]
[248, 274, 123]
[248, 275, 124]
[247, 276, 124]
[259, 287, 127]
[251, 278, 125]
[249, 277, 125]
[249, 276, 125]
[246, 273, 125]
[250, 278, 126]
[251, 277, 126]
[254, 281, 128]
[252, 278, 127]
[256, 284, 130]
[259, 286, 131]
[263, 289, 131]
[269, 295, 134]
[262, 288, 131]
[256, 282, 129]
[248, 274, 124]
[250, 277, 127]
[255, 282, 129]
[256, 282, 128]
[256, 282, 129]
[248, 275, 126]
[250, 276, 126]
