[61, 156, 24]
[61, 155, 23]
[65, 152, 26]
[60, 145, 23]
[60, 142, 24]
[58, 143, 23]
[58, 145, 23]
[59, 144, 24]
[65, 152, 26]
[68, 145, 29]
[72, 158, 30]
[71, 153, 30]
[71, 153, 31]
[67, 157, 29]
[65, 161, 28]
[67, 164, 29]
[66, 163, 28]
[67, 165, 29]
[67, 164, 28]
[66, 163, 28]
[69, 165, 29]
[65, 155, 27]
[57, 128, 21]
[54, 116, 20]
[55, 120, 23]
[57, 126, 24]
[60, 134, 23]
[60, 135, 25]
[60, 136, 24]
[56, 120, 22]
[56, 121, 23]
[56, 121, 22]
[57, 122, 22]
[66, 148, 28]
[67, 150, 28]
[66, 163, 27]
[66, 165, 29]
[66, 164, 27]
[65, 164, 27]
[66, 163, 27]
[62, 135, 25]
[57, 117, 23]
[54, 111, 21]
[54, 112, 22]
[53, 110, 21]
[54, 111, 23]
[53, 107, 22]
[53, 107, 20]
[64, 146, 27]
[68, 152, 28]
[67, 151, 28]
