[105, 116, 59]
[106, 117, 60]
[108, 119, 60]
[125, 138, 70]
[161, 180, 93]
[190, 212, 109]
[215, 236, 121]
[233, 254, 132]
[230, 250, 129]
[197, 219, 111]
[173, 193, 98]
[144, 162, 82]
[133, 149, 75]
[121, 135, 68]
[116, 130, 66]
[117, 130, 66]
[115, 128, 66]
[115, 127, 65]
[119, 133, 67]
[117, 130, 64]
[119, 132, 66]
[117, 131, 65]
[116, 129, 65]
[108, 119, 59]
[103, 114, 58]
[109, 121, 62]
[113, 125, 63]
[132, 148, 76]
[169, 189, 96]
[180, 201, 103]
[177, 198, 99]
[172, 192, 96]
[161, 182, 92]
[151, 170, 86]
[178, 197, 100]
[196, 218, 109]
[201, 224, 113]
[187, 210, 106]
[205, 228, 116]
[221, 244, 123]
[224, 247, 124]
[228, 250, 127]
[229, 251, 127]
[210, 233, 118]
[202, 224, 116]
[229, 247, 129]
[240, 255, 136]
[241, 256, 136]
[239, 255, 135]
[243, 258, 137]
