[216, 59, 42]
[190, 53, 38]
[251, 66, 48]
[305, 64, 50]
[311, 70, 52]
[210, 58, 41]
[176, 49, 36]
[164, 46, 34]
[127, 35, 26]
[90, 25, 19]
[148, 41, 33]
[267, 67, 51]
[212, 56, 42]
[144, 39, 31]
[146, 42, 30]
[123, 36, 26]
[161, 45, 32]
[191, 53, 38]
[244, 65, 46]
[156, 43, 30]
[154, 43, 31]
[210, 58, 41]
[273, 71, 51]
[272, 70, 50]
[180, 50, 36]
[133, 39, 29]
[124, 36, 27]
[121, 35, 26]
[121, 35, 26]
[106, 30, 24]
[92, 27, 22]
[102, 28, 22]
[134, 37, 28]
[136, 37, 28]
[128, 35, 28]
[144, 41, 31]
[157, 44, 32]
[164, 46, 33]
[168, 45, 32]
[207, 56, 42]
[228, 59, 44]
[213, 58, 42]
[266, 66, 49]
[257, 63, 47]
[255, 65, 48]
[282, 69, 51]
[285, 70, 50]
[287, 72, 51]
[293, 73, 54]
[264, 67, 49]
[181, 51, 37]
[140, 40, 30]
[137, 40, 30]
