[116, 120, 11]
[114, 118, 11]
[116, 120, 11]
[118, 121, 12]
[130, 134, 12]
[159, 164, 14]
[183, 187, 16]
[184, 188, 19]
[132, 136, 12]
[124, 128, 12]
[124, 128, 12]
[120, 123, 10]
[119, 121, 12]
[119, 121, 12]
[129, 132, 13]
[140, 142, 14]
[178, 179, 16]
[189, 191, 18]
[175, 178, 18]
[164, 168, 16]
[146, 152, 14]
[133, 138, 13]
[133, 134, 14]
[129, 132, 14]
[121, 122, 13]
[138, 141, 14]
[169, 173, 19]
[206, 207, 22]
[211, 212, 23]
[210, 211, 22]
[215, 215, 23]
[205, 208, 22]
[175, 178, 18]
[138, 140, 14]
[121, 123, 12]
[115, 116, 12]
[115, 118, 11]
[114, 117, 12]
[114, 116, 11]
[114, 116, 11]
[121, 123, 12]
[123, 126, 13]
[122, 124, 13]
[120, 121, 11]
[114, 116, 11]
[109, 111, 11]
[110, 112, 10]
[120, 123, 11]
[133, 135, 13]
[125, 127, 11]
[115, 117, 12]
[116, 118, 12]
[116, 118, 11]
[114, 115, 11]
[114, 115, 10]
[111, 112, 9]
[114, 118, 11]
[115, 116, 10]
[116, 118, 12]
[115, 116, 10]
[115, 117, 10]
[116, 117, 10]
